cik1	fy1	period1	cik2	fy2	period2	dist
0000098362	2012	20121231	0001005284	2012	20121231	0.338404257027
0000098362	2012	20121231	0001366407	2012	20121231	0.563434185122
0000098362	2012	20121231	0001450708	2012	20121031	0.449926912033
0000098362	2012	20121231	0001530804	2012	20121231	0.39978528451
0000098362	2012	20121231	0000948426	2012	20121231	0.411466984806
0000098362	2012	20121231	0001523733	2012	20121231	0.404069669736
0001412486	2012	20121231	0001136352	2012	20120930	0.374735942794
0001412486	2012	20121231	0001064728	2012	20121231	0.363451028063
0001412486	2012	20121231	0001034842	2012	20121231	0.424221757391
0001412486	2012	20121231	0000098362	2012	20121231	0.394709709417
0001412486	2012	20121231	0001384072	2012	20121231	0.37895598245
0001412486	2012	20121231	0001281198	2012	20121231	0.348188088286
0001412486	2012	20121231	0000068709	2012	20120929	0.382496182411
0001412486	2012	20121231	0000093410	2012	20121231	0.440758074718
0001412486	2012	20121231	0000789868	2012	20121231	0.354836449419
0001412486	2012	20121231	0000836429	2012	20120731	0.382041094483
0001412486	2012	20121231	0001389067	2012	20121231	0.553599567679
0001412486	2012	20121231	0000027748	2012	20120728	0.368044472485
0001412486	2012	20121231	0000746967	2012	20120930	0.600974054002
0001412486	2012	20121231	0001000228	2012	20121229	0.352577917171
0001412486	2012	20121231	0001371217	2012	20121231	0.378693010505
0001412486	2012	20121231	0001117106	2012	20121231	0.400966560148
0001412486	2012	20121231	0000093389	2012	20121231	0.336560418965
0001412486	2012	20121231	0001287808	2012	20121231	0.394372736936
0001412486	2012	20121231	0001125903	2012	20121231	0.554061627569
0001412486	2012	20121231	0001491525	2012	20120331	0.374466098697
0001412486	2012	20121231	0001111817	2012	20120630	0.331263884006
0001412486	2012	20121231	0000825324	2012	20120930	0.372445959413
0001412486	2012	20121231	0001020475	2012	20121231	0.762139220399
0001412486	2012	20121231	0001529293	2012	20120731	0.445319400416
0001412486	2012	20121231	0001551887	2012	20121031	0.382820780359
0001412486	2012	20121231	0001002590	2012	20120930	0.391663656724
0001412486	2012	20121231	0000727510	2012	20121231	0.374808112135
0001412486	2012	20121231	0001510524	2012	20121231	0.378971089252
0001412486	2012	20121231	0001355304	2012	20121231	0.371886828492
0001412486	2012	20121231	0000041719	2012	20121231	0.341561258526
0001412486	2012	20121231	0001005284	2012	20121231	0.352086959917
0001412486	2012	20121231	0001366407	2012	20121231	0.563668219636
0001412486	2012	20121231	0001450708	2012	20121031	0.465735978407
0001412486	2012	20121231	0001530804	2012	20121231	0.432982094685
0001412486	2012	20121231	0000948426	2012	20121231	0.404126788667
0001412486	2012	20121231	0001523733	2012	20121231	0.333719626544
0001384072	2012	20121231	0001136352	2012	20120930	0.387621103759
0001384072	2012	20121231	0001064728	2012	20121231	0.400711447044
0001384072	2012	20121231	0001034842	2012	20121231	0.481956832942
0001384072	2012	20121231	0000098362	2012	20121231	0.434041974272
0001384072	2012	20121231	0001412486	2012	20121231	0.37895598245
0001384072	2012	20121231	0001281198	2012	20121231	0.433489633687
0001384072	2012	20121231	0000068709	2012	20120929	0.412111074081
0001384072	2012	20121231	0000093410	2012	20121231	0.388137983338
0001384072	2012	20121231	0000789868	2012	20121231	0.386878604901
0001384072	2012	20121231	0000836429	2012	20120731	0.431157117851
0001384072	2012	20121231	0001389067	2012	20121231	0.623499660876
0001384072	2012	20121231	0000027748	2012	20120728	0.420383436549
0001384072	2012	20121231	0000746967	2012	20120930	0.657458125469
0001384072	2012	20121231	0001000228	2012	20121229	0.380440373236
0001384072	2012	20121231	0001371217	2012	20121231	0.439888371504
0001384072	2012	20121231	0001117106	2012	20121231	0.440201468878
0001384072	2012	20121231	0000093389	2012	20121231	0.391050886367
0001384072	2012	20121231	0001287808	2012	20121231	0.436182884506
0001384072	2012	20121231	0001125903	2012	20121231	0.613634250216
0001384072	2012	20121231	0001491525	2012	20120331	0.464560230638
0001384072	2012	20121231	0001111817	2012	20120630	0.418272232727
0001384072	2012	20121231	0000825324	2012	20120930	0.413240661192
0001384072	2012	20121231	0001020475	2012	20121231	0.814692194268
0001384072	2012	20121231	0001529293	2012	20120731	0.51544560288
0001384072	2012	20121231	0001551887	2012	20121031	0.457459741108
0001384072	2012	20121231	0001002590	2012	20120930	0.404600784598
0001384072	2012	20121231	0000727510	2012	20121231	0.423376468735
0001384072	2012	20121231	0001510524	2012	20121231	0.466133407726
0001384072	2012	20121231	0001355304	2012	20121231	0.429573124346
0001384072	2012	20121231	0000041719	2012	20121231	0.38430747561
0001384072	2012	20121231	0001005284	2012	20121231	0.424203843673
0001384072	2012	20121231	0001366407	2012	20121231	0.642259251282
0001384072	2012	20121231	0001450708	2012	20121031	0.50599437747
0001384072	2012	20121231	0001530804	2012	20121231	0.438049919134
0001384072	2012	20121231	0000948426	2012	20121231	0.463980196146
0001384072	2012	20121231	0001523733	2012	20121231	0.38193533874
0000946454	2011	20111231	0001137411	2011	20110930	0
0000946454	2011	20111231	0001123493	2011	20111231	0
0000946454	2011	20111231	0000906193	2011	20110930	0
0001522236	2014	20140531	0000874214	2014	20150131	0.664073546522
0001522236	2014	20140531	0001439971	2014	20140430	0.348279724243
0001522236	2014	20140531	0000884269	2014	20141231	0.370919633494
0001522236	2014	20140531	0001481218	2014	20141231	0.328614957108
0001522236	2014	20140531	0001062292	2014	20141231	0.388735431268
0001522236	2014	20140531	0001134765	2014	20141231	0.696740301511
0001522236	2014	20140531	0001517681	2014	20140630	0.75748820596
0001522236	2014	20140531	0001407704	2014	20140228	0.510698477651
0001522236	2014	20140531	0001338095	2014	20141231	0.373592540571
0001522236	2014	20140531	0001594337	2014	20140930	0.728161468847
0001522236	2014	20140531	0001493563	2014	20141231	0.358744824359
0001522236	2014	20140531	0001002037	2014	20141003	0.432253368014
0001522236	2014	20140531	0000277058	2014	20140430	0.408444050265
0001522236	2014	20140531	0001060409	2014	20141231	0.367544624015
0001522236	2014	20140531	0000315189	2014	20141031	0.497966467991
0001522236	2014	20140531	0001433966	2014	20140630	0.370691687894
0001522236	2014	20140531	0001031623	2014	20141231	0.381625323885
0001481218	2014	20141231	0000874214	2014	20150131	0.615769701369
0001481218	2014	20141231	0001439971	2014	20140430	0.36080564899
0001481218	2014	20141231	0000884269	2014	20141231	0.356874399956
0001481218	2014	20141231	0001522236	2014	20140531	0.328614957108
0001481218	2014	20141231	0001062292	2014	20141231	0.30602624637
0001481218	2014	20141231	0001134765	2014	20141231	0.695477003275
0001481218	2014	20141231	0001517681	2014	20140630	0.711638814068
0001481218	2014	20141231	0001407704	2014	20140228	0.511422532836
0001481218	2014	20141231	0001338095	2014	20141231	0.350821777529
0001481218	2014	20141231	0001594337	2014	20140930	0.642240610771
0001481218	2014	20141231	0001493563	2014	20141231	0.296984274996
0001481218	2014	20141231	0001002037	2014	20141003	0.394721375598
0001481218	2014	20141231	0000277058	2014	20140430	0.391369066275
0001481218	2014	20141231	0001060409	2014	20141231	0.369235213285
0001481218	2014	20141231	0000315189	2014	20141031	0.471378575141
0001481218	2014	20141231	0001433966	2014	20140630	0.339476802778
0001481218	2014	20141231	0001031623	2014	20141231	0.381774886645
